"teamfull","city","state","league","teamonly","cityonly","teamns","cityns","teamonly2","cityonly2"
"San Francisco 49ers","Santa Clara","California","NFL","49ers","San Francisco","49ers","SanFrancisco","49ers","San Francisco"
"Seattle Seahawks","Seattle","Washington","NFL","Seahawks","Seattle","Seahawks","Seattle","Seahawks","Seattle"
"Tampa Bay Buccaneers","Tampa","Florida","NFL","Buccaneers","Tampa Bay","Buccaneers","TampaBay","Buccaneers","Tampa Bay"
"Tennessee Titans","Nashville","Tennessee","NFL","Titans","Tennessee","Titans","Tennessee","Titans","Tennessee"
"Washington Commanders","Landover","Maryland","NFL","Commanders","Washington","Commanders","Washington","Commanders","Washington"
"Anaheim Ducks","Anaheim","California","NHL","Ducks","Anaheim","Ducks","Anaheim","Ducks","Anaheim"
"Arizona Coyotes","Glendale","Arizona","NHL","Coyotes","Arizona","Coyotes","Arizona","Coyotes","Arizona"
"Boston Bruins","Boston","Massachusetts","NHL","Bruins","Boston","Bruins","Boston","Bruins","Boston"
"Buffalo Sabres","Buffalo","New York","NHL","Sabres","Buffalo","Sabres","Buffalo","Sabres","Buffalo"
"Calgary Flames","Calgary","Alberta","NHL","Flames","Calgary","Flames","Calgary","Flames","Calgary"
"Carolina Hurricanes","Raleigh","North Carolina","NHL","Hurricanes","Carolina","Hurricanes","Carolina","Hurricanes","Carolina"
"Chicago Blackhawks","Chicago","Illinois","NHL","Blackhawks","Chicago","Blackhawks","Chicago","Blackhawks","Chicago"
"Colorado Avalanche","Denver","Colorado","NHL","Avalanche","Colorado","Avalanche","Colorado","Avalanche","Colorado"
"Columbus Blue Jackets","Columbus","Ohio","NHL","Blue Jackets","Columbus","BlueJackets","Columbus","Blue Jackets","Columbus"
"Dallas Stars","Dallas","Texas","NHL","Stars","Dallas","Stars","Dallas","Stars","Dallas"
"Detroit Red Wings","Detroit","Michigan","NHL","Red Wings","Detroit","RedWings","Detroit","Red Wings","Detroit"
"Edmonton Oilers","Edmonton","Alberta","NHL","Oilers","Edmonton","Oilers","Edmonton","Oilers","Edmonton"
"Florida Panthers","Sunrise","Florida","NHL","Panthers","Florida","Panthers","Florida","Panthers","Florida"
"Los Angeles Kings","Los Angeles","California","NHL","Kings","Los Angeles","Kings","LosAngeles","Kings","Los Angeles"
"Minnesota Wild","St. Paul","Minnesota","NHL","Wild","Minnesota","Wild","Minnesota","Wild","Minnesota"
"Montreal Canadiens","Montreal","Quebec","NHL","Canadiens","Montreal","Canadiens","Montreal","Canadiens","Montreal"
"Nashville Predators","Nashville","Tennessee","NHL","Predators","Nashville","Predators","Nashville","Predators","Nashville"
"New Jersey Devils","Newark","New Jersey","NHL","Devils","New Jersey","Devils","NewJersey","Devils","New Jersey"
"New York Islanders","Elmont","New York","NHL","Islanders","New York","Islanders","NewYork","Islanders","New York"
"New York Rangers","New York City","New York","NHL","Rangers","New York","Rangers","NewYork","Rangers","New York"
"Ottawa Senators","Ottawa","Ontario","NHL","Senators","Ottawa","Senators","Ottawa","Senators","Ottawa"
"Philadelphia Flyers","Philadelphia","Pennsylvania","NHL","Flyers","Philadelphia","Flyers","Philadelphia","Flyers","Philadelphia"
"Pittsburgh Penguins","Pittsburgh","Pennsylvania","NHL","Penguins","Pittsburgh","Penguins","Pittsburgh","Penguins","Pittsburgh"
"St. Louis Blues","St. Louis","Missouri","NHL","Blues","St. Louis","Blues","StLouis","Blues","St Louis"
"San Jose Sharks","San Jose","California","NHL","Sharks","San Jose","Sharks","SanJose","Sharks","San Jose"
"Seattle Kraken","Seattle","Washington","NHL","Kraken","Seattle","Kraken","Seattle","Kraken","Seattle"
"Tampa Bay Lightning","Tampa","Florida","NHL","Lightning","Tampa Bay","Lightning","TampaBay","Lightning","Tampa Bay"
"Toronto Maple Leafs","Toronto","Ontario","NHL","Maple Leafs","Toronto","MapleLeafs","Toronto","Maple Leafs","Toronto"
"Vancouver Canucks","Vancouver","British Columbia","NHL","Canucks","Vancouver","Canucks","Vancouver","Canucks","Vancouver"
"Vegas Golden Knights","Paradise","Nevada","NHL","Golden Knights","Vegas","GoldenKnights","Vegas","Golden Knights","Vegas"
"Washington Capitals","Washington","District of Columbia","NHL","Capitals","Washington","Capitals","Washington","Capitals","Washington"
"Winnipeg Jets","Winnipeg","Manitoba","NHL","Jets","Winnipeg","Jets","Winnipeg","Jets","Winnipeg"
